timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-05-09T00:00:00.000Z";"2025-05-09T23:59:59.999Z";"2025-05-09T11:26:00.000Z";"2025-05-09T05:08:00.000Z";"2781";2.3231657517;2.4253989177;2.2902524909;2.3446712152;5991870742.4;137279066897.69;"2025-05-09T23:59:59.999Z"
"2025-05-08T00:00:00.000Z";"2025-05-08T23:59:59.999Z";"2025-05-08T23:49:00.000Z";"2025-05-08T00:49:00.000Z";"2781";2.1261733765;2.3246718691;2.1193132295;2.3231842849;4714441484.09;136022411505.86;"2025-05-08T23:59:59.999Z"
"2025-05-07T00:00:00.000Z";"2025-05-07T23:59:59.999Z";"2025-05-07T01:05:00.000Z";"2025-05-07T18:14:00.000Z";"2781";2.1553458505;2.1697234692;2.1089199616;2.1261714313;3808556619.63;124388680022.07;"2025-05-07T23:59:59.999Z"
"2025-05-06T00:00:00.000Z";"2025-05-06T23:59:59.999Z";"2025-05-06T23:52:00.000Z";"2025-05-06T13:55:00.000Z";"2781";2.1355318098;2.157809694;2.0805419362;2.1554295773;2458675033.69;126095373172.82;"2025-05-06T23:59:59.999Z"
"2025-05-05T00:00:00.000Z";"2025-05-05T23:59:59.999Z";"2025-05-05T09:10:00.000Z";"2025-05-05T15:49:00.000Z";"2781";2.157765088;2.1935370542;2.1095799304;2.1356094513;2518838395.46;124936181548.58;"2025-05-05T23:59:59.999Z"
"2025-05-04T00:00:00.000Z";"2025-05-04T23:59:59.999Z";"2025-05-04T02:07:00.000Z";"2025-05-04T23:33:00.000Z";"2781";2.1883636651;2.2153866741;2.1541789746;2.1577948478;1606676573.71;126236907144.29;"2025-05-04T23:59:59.999Z"
"2025-05-03T00:00:00.000Z";"2025-05-03T23:59:59.999Z";"2025-05-03T03:01:00.000Z";"2025-05-03T17:21:00.000Z";"2781";2.2098281177;2.2192182248;2.1809736121;2.1883673688;1427745526.63;128027032376.42;"2025-05-03T23:59:59.999Z"
"2025-05-02T00:00:00.000Z";"2025-05-02T23:59:59.999Z";"2025-05-02T14:41:00.000Z";"2025-05-02T08:02:00.000Z";"2781";2.2141675167;2.2388205672;2.1949220504;2.2098307886;2148434217;129282778950.82;"2025-05-02T23:59:59.999Z"
"2025-05-01T00:00:00.000Z";"2025-05-01T23:59:59.999Z";"2025-05-01T15:16:00.000Z";"2025-05-01T00:40:00.000Z";"2781";2.191571952;2.2549796862;2.1911277017;2.2141617327;2221046439.24;129536649175.77;"2025-05-01T23:59:59.999Z"
"2025-04-30T00:00:00.000Z";"2025-04-30T23:59:59.999Z";"2025-04-30T05:41:00.000Z";"2025-04-30T14:01:00.000Z";"2781";2.2407919979;2.2582819527;2.1297676233;2.1915565055;3691303521.26;128085849200.42;"2025-04-30T23:59:59.999Z"
